"Ranking","Product Title","Product Category","Rating","Review Date","Helpful Votes","Has Image","Verified Purchase","Review Title","Review Text"
"1","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on March 12, 2024","0","False","True","Great quality and comfort","Love this pull over, great quality very warm!"
"2","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on February 24, 2024","2","True","True","Simple yet perfect.","The black and tan colors go together flawlessly. This fleece pullover is comparable to other bring brands for over 1/4 of the price. My husband loves this pullover and wears it often. It does not conduct static or collect hair / fuzz. True to size, easy to wash, and goes with just about everything. It will keep you warm without having to bundle up, is easy to wash."
"3","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on February 19, 2024","0","False","True","Size Up","Size up. Thick, not light weight. Warm for cold days."
"4","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 21, 2024","0","False","True","Great jacket!","This is super warm and comfy. Was out in 35 degree weather yesterday and this jacket was great. Love the style as well."
"5","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 19, 2022","0","False","True","So warm!","At first it seemed like a cheap material but is in fact very warm! Super comfortable and soft. I'll be ordering the other colors as well lol"
"6","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","3","Reviewed in the United States on January 8, 2023","3","False","True","Very Cheaply made quarter button fleece pullover.","I want to love this sweater and I do for what it is. BUT THIS THING IS SO CHEAPLY MADE. The sleeve cuffs came unstitched after 1 day of owning it. It is warm for mildly cold weather and soft to the touch. But it is a barebones product that has very little ""quality"" about it. For the $25 it is; it is not a bad deal at all. I do still wear it, but I also bought a similar product from a more popular brand that happened to be a similar price but on sale and the quality is much more prominent. If you are looking for a sweater that you don't mind possibly trashing in the process of wearing it... get it! Also would like to add that it is fairly stylish for the price as well."
"7","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 4, 2024","0","False","True","Looks good","Fits well and is comfortable"
"8","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 27, 2024","0","False","True","Awesome item !","Great fit and color selection. Cannot beat the price either..."
"9","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on February 5, 2024","0","False","True","Nice fit","As described & fits great!!!!"
"10","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 28, 2024","0","False","True","Looks cool and warmand easy to put on m","to put on with limited mobility in an arm"
"11","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 24, 2024","0","False","True","Worth the price","It’s become my goto choice for something casual"
"12","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 17, 2023","0","True","True","Snaps not zipper","I thought I ordered the one with the zipper, but received the one with the snaps. I’ve discovered that I actually prefer the snaps, so I’m pleased."
"13","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 7, 2024","0","False","True","Nice fleece.","Very nice fleece. Good looking details. Runs true to size. My husband really liked it"
"14","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on January 7, 2024","0","False","True","Quality","Bought this as Christmas gift the person really like the material and the comfort"
"15","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 21, 2023","0","False","True","He loves these pullovers","My husband loves the pullover and especially the kangaroo pocket. He has them in all the colors."
"16","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on December 2, 2023","0","False","True","Good Value","Like the feel and the style of the garment and its fits just right unlike the ones from Chima you know"
"17","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on February 9, 2023","0","False","True","good cheap pull over","It's a good pull over. Good material. I do worry about the stitching on the cuffs, it seems like those will fail. I threw this one in a backpack as a backup incase t gets cold. Not sure if I would abuse this, but for most things, it's a good cheap way to stay comfortable."
"18","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on March 13, 2024","0","False","True","Sleeves ripped","Started falling apart a month after I bought it. I still wear it even though the sleeves are kind of ripped, it is still comfortable."
"19","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on January 27, 2023","0","False","True","Great quality, fit much smaller than usual","These are a great deal but run smaller than others. The extra ""belly line"" fabric is a realy plus (I'm 5'9"" 210lbs) but overall the XL was a little smaller than usual in the shoulders and chest. I returned and got xxl instead."
"20","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on February 6, 2024","0","False","True","Not my husbands cup of tea","Didn’t love the color block and the snap / flap going up to the neck. My husband didn’t know to lay it flat (wideee collar) or button it lol! Just didn’t work for it, but it was soft and comfy"
"21","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","4","Reviewed in the United States on December 23, 2022","0","False","True","Nice, classy looking, but runs small.","It's a nice shirt, looks good, but XL fits more like a large."
"22","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on July 28, 2023","0","False","True","Great buy","Its very nice quality and looks good on"
"23","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","5","Reviewed in the United States on August 18, 2023","0","False","True","Pretty.","very Comfortable."
"24","Amazon Essentials Men's Full-Zip Polar Fleece Jacket","Clothing","2","Reviewed in the United States on January 9, 2024","0","False","True","Find better.","It feels cheap."
